split,path,voice_fake,voice_present,segment_count,segment_scores,segment_spread
val_a,MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0028.flac|data/raw/gtzan_unique_v2/disco.00059.wav,0,1,3,"[0.6940096020698547, 0.6935086250305176, 0.7019405364990234]",0.00843191146850586
val_a,data\raw\openslr_librispeech_asr\librispeech_dev_3170-137482-0035.flac,0,1,2,"[0.7660634517669678, 0.76500004529953]",0.0010634064674377441
val_a,MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0035.flac|data\raw\fake_music_generated\fake_music_MusicGen_0114.wav,0,1,1,[0.7485306859016418],0.0
val_a,MIX::data\raw\openslr_librispeech_asr\librispeech_dev_6295-64301-0027.flac|data\raw\fake_music_generated\fake_music_MusicGen_0152.wav,0,1,1,[0.7136273980140686],0.0
val_a,data\raw\openslr_librispeech_asr\librispeech_dev_3170-137482-0044.flac,0,1,2,"[0.7544904947280884, 0.7620124816894531]",0.007521986961364746
val_a,MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0074.flac|data/raw/gtzan_unique_v2/blues.00019.wav,0,1,3,"[0.6418492794036865, 0.6807225346565247, 0.6499959826469421]",0.038873255252838135
val_a,data\raw\fake_music_generated\fake_music_MusicGen_0066.wav,0,0,1,[0.7371768355369568],0.0
val_a,data\raw\fake_music_generated\fake_music_MusicGen_0170.wav,0,0,1,[0.717175304889679],0.0
val_a,MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0394.wav|data\raw\fake_music_generated\fake_music_MusicGen_0174.wav,1,1,1,[0.7661731839179993],0.0
val_a,data/raw/gtzan_unique_v2/rock.00033.wav,0,0,3,"[0.7059999704360962, 0.7026382088661194, 0.692672610282898]",0.013327360153198242
val_a,data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_5305063.flac,1,1,1,[0.680462658405304],0.0
val_a,data/raw/gtzan_unique_v2/pop.00085.wav,0,0,3,"[0.7061470746994019, 0.7130799889564514, 0.7219473123550415]",0.01580023765563965
val_a,data\raw\fake_music_generated\fake_music_MusicGen_0252.wav,0,0,1,[0.7370949983596802],0.0
val_a,MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ008-0315.wav|data\raw\fake_music_generated\fake_music_MusicGen_0144.wav,1,1,2,"[0.7464796304702759, 0.7644484639167786]",0.017968833446502686
val_a,data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ029-0186_WF4_2.wav,1,1,2,"[0.7956031560897827, 0.7889289855957031]",0.00667417049407959
val_a,data/raw/gtzan_unique_v2/jazz.00050.wav,0,0,3,"[0.7219781875610352, 0.708184540271759, 0.723621129989624]",0.01543658971786499
val_a,MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ009-0248.wav|data/raw/gtzan_unique_v2/pop.00028.wav,1,1,3,"[0.7586200833320618, 0.6846193671226501, 0.7015498280525208]",0.07400071620941162
val_a,MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0045.flac|data\raw\fake_music_generated\fake_music_MusicGen_0144.wav,0,1,2,"[0.6288682818412781, 0.5846577882766724]",0.04421049356460571
val_a,MIX::data\raw\openslr_librispeech_asr\librispeech_dev_3000-15664-0007.flac|data/raw/gtzan_unique_v2/country.00069.wav,0,1,3,"[0.6424837112426758, 0.6511245369911194, 0.6529208421707153]",0.01043713092803955
val_a,data/raw/gtzan_unique_v2/hiphop.00075.wav,0,0,3,"[0.6880351305007935, 0.6934781670570374, 0.6943194270133972]",0.00628429651260376
val_a,MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_6013298.flac|data\raw\fake_music_generated\fake_music_MusicGen_0202.wav,0,1,1,[0.7274953126907349],0.0
val_a,data/raw/gtzan_unique_v2/classical.00028.wav,0,0,3,"[0.6782964468002319, 0.6683065891265869, 0.6786895394325256]",0.01038295030593872
val_a,data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_5520907.flac,0,1,1,[0.6705594062805176],0.0
val_a,MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0039.flac|data/raw/gtzan_unique_v2/jazz.00012.wav,0,1,3,"[0.7250065207481384, 0.6475780606269836, 0.6539822220802307]",0.07742846012115479
val_a,data\raw\fake_music_generated\fake_music_MusicGen_0296.wav,0,0,1,[0.7319642901420593],0.0
val_a,data/raw/gtzan_unique_v2/reggae.00048.wav,0,0,3,"[0.6874470710754395, 0.6834393739700317, 0.6867569088935852]",0.004007697105407715
val_a,data\raw\fake_music_generated\fake_music_MusicGen_0090.wav,0,0,1,[0.7281561493873596],0.0
