split,path,dataset,source,generator,speaker_id,voice_fake,voice_present,music_present,duration_sec,specialist_score,df_score,voice_score,segment_spread,mix_mode,mix_snr_db,augment,threshold,predicted_fake,false_positive,false_negative,error_type,duration_bucket,snr_bucket,codec,telephone,mixed_music,partial_overlap,confidence_bucket
val_a,MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0244.wav|data\raw\fake_music_generated\fake_music_MusicGen_0252.wav,mix,split_internal_mix,mix::WF1::MusicGen,mix::wavefake_31c5b4::fake_music_MusicGen_25,1,1,1,5.5714375,0.7408403754234314,0.5929550380787774,0.6964747742200351,0.046533405780792236,simultaneous,-10.0,none,0.7222907679582625,0,0,1,FN,4-8,low,False,False,True,False,uncertain
val_a,MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0394.wav|data\raw\fake_music_generated\fake_music_MusicGen_0156.wav,mix,split_internal_mix,mix::WF4::MusicGen,mix::wavefake_76ddde::fake_music_MusicGen_15,1,1,1,6.6895625,0.7313911318778992,0.6003052508865464,0.6920653675804933,0.05457305908203125,partial_overlap,-10.0,none,0.7222907679582625,0,0,1,FN,4-8,low,False,False,True,True,uncertain
val_a,MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_1229215.flac|data/raw/gtzan_unique_v2/hiphop.00001.wav,mix,split_internal_mix,mix::A01::GTZAN_genre_4,mix::LA_0094::gtzan_4_hiphop.00001,1,1,1,30.88875,0.7094524502754211,0.6381422793868459,0.6880593990088485,0.03411322832107544,partial_overlap,0.0,none,0.7222907679582625,0,0,1,FN,>30,mid,False,False,True,True,uncertain
val_a,MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_2960848.flac|data/raw/gtzan_unique_v2/reggae.00021.wav,mix,split_internal_mix,mix::A02::GTZAN_genre_8,mix::LA_0086::gtzan_8_reggae.00021,1,1,1,33.993875,0.6609480977058411,0.6759133537821688,0.6654376745287394,-0.021106421947479248,music_then_voice,-5.0,none,0.7222907679582625,0,0,1,FN,>30,low,False,False,True,False,moderate
val_a,MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_8727197.flac|data/raw/gtzan_unique_v2/country.00061.wav,mix,split_internal_mix,mix::A02::GTZAN_genre_2,mix::LA_0094::gtzan_2_country.00061,1,1,1,30.013375,0.6920892000198364,0.5201030964278577,0.6404933689422427,0.003811776638031006,simultaneous,-5.0,none,0.7222907679582625,0,0,1,FN,>30,low,False,False,True,False,moderate
val_a,MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_6193190.flac|data/raw/gtzan_unique_v2/reggae.00036.wav,mix,split_internal_mix,mix::A02::GTZAN_genre_8,mix::LA_0086::gtzan_8_reggae.00036,1,1,1,38.0926875,0.7092244625091553,0.42095071891084,0.6227423394296606,0.03304833173751831,crossfade,-10.0,none,0.7222907679582625,0,0,1,FN,>30,low,False,False,True,False,moderate
val_a,MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ048-0137.wav|data/raw/gtzan_unique_v2/classical.00031.wav,mix,split_internal_mix,mix::WF1::GTZAN_genre_1,mix::wavefake_365a25::gtzan_1_classical.00031,1,1,1,30.013375,0.6859592199325562,0.1588152585919917,0.5278160315303868,0.005038142204284668,simultaneous,-15.0,none,0.7222907679582625,0,0,1,FN,>30,low,False,False,True,False,confident
val_b,MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0387.wav|data/raw/gtzan_unique_v2/rock.00099.wav,mix,split_internal_mix,mix::WF7::GTZAN_genre_9,mix::wavefake_0cc0d1::gtzan_9_rock.00099,1,1,1,35.6435,0.793718695640564,0.5035789072232955,0.7066767591153834,0.0936397910118103,crossfade,0.0,none,0.7330639126095666,0,0,1,FN,>30,mid,False,False,True,False,uncertain
val_b,MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0394_WF7_1.wav|data/raw/gtzan_unique_v2/hiphop.00052.wav,mix,split_internal_mix,mix::WF7::GTZAN_genre_4,mix::wavefake_76ddde::gtzan_4_hiphop.00052,1,1,1,30.013375,0.7168896198272705,0.4423611244336006,0.6345310712091695,0.0422477126121521,simultaneous,-5.0,none,0.7330639126095666,0,0,1,FN,>30,low,False,False,True,False,moderate
val_b,MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ043-0069.wav|data/raw/gtzan_unique_v2/jazz.00019.wav,mix,split_internal_mix,mix::WF7::GTZAN_genre_5,mix::wavefake_1eabbc::gtzan_5_jazz.00019,1,1,1,30.013375,0.7148312330245972,0.4400780273503699,0.6324052713223289,0.02869594097137451,simultaneous,-15.0,none,0.7330639126095666,0,0,1,FN,>30,low,False,False,True,False,moderate
