path,data_role,voice_fake,voice_present,source,generator,voice_fake_score
data\raw\openslr_librispeech_asr\librispeech_dev_1988-24833-0026.flac,train,0,1,librispeech_dev,LibriSpeech,0.7569872140884399
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93302-0010.flac,train,0,1,librispeech_dev,LibriSpeech,0.7501742839813232
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0048.flac,train,0,1,librispeech_dev,LibriSpeech,0.749722957611084
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9006-0017.flac,train,0,1,librispeech_dev,LibriSpeech,0.7106601595878601
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64029-0000.flac,train,0,1,librispeech_dev,LibriSpeech,0.7413400411605835
data\raw\openslr_librispeech_asr\librispeech_dev_251-137823-0017.flac,train,0,1,librispeech_dev,LibriSpeech,0.7413455247879028
data\raw\openslr_librispeech_asr\librispeech_dev_1988-147956-0008.flac,train,0,1,librispeech_dev,LibriSpeech,0.7117096781730652
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0011.flac,train,0,1,librispeech_dev,LibriSpeech,0.7054001092910767
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0008.flac,train,0,1,librispeech_dev,LibriSpeech,0.7558508515357971
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0010.flac,train,0,1,librispeech_dev,LibriSpeech,0.7083213329315186
data\raw\openslr_librispeech_asr\librispeech_dev_7976-110124-0015.flac,train,0,1,librispeech_dev,LibriSpeech,0.7386868596076965
data\raw\openslr_librispeech_asr\librispeech_dev_1988-24833-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.7275055050849915
data\raw\openslr_librispeech_asr\librispeech_dev_7976-110124-0023.flac,train,0,1,librispeech_dev,LibriSpeech,0.7401949167251587
data\raw\openslr_librispeech_asr\librispeech_dev_6345-64257-0004.flac,train,0,1,librispeech_dev,LibriSpeech,0.7235378623008728
data\raw\openslr_librispeech_asr\librispeech_dev_5338-284437-0015.flac,train,0,1,librispeech_dev,LibriSpeech,0.7122121453285217
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64038-0010.flac,train,0,1,librispeech_dev,LibriSpeech,0.7127373814582825
data\raw\openslr_librispeech_asr\librispeech_dev_2412-153948-0003.flac,train,0,1,librispeech_dev,LibriSpeech,0.701867401599884
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0010.flac,train,0,1,librispeech_dev,LibriSpeech,0.7052063941955566
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93306-0006.flac,train,0,1,librispeech_dev,LibriSpeech,0.7373393177986145
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9006-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.7136720418930054
data\raw\openslr_librispeech_asr\librispeech_dev_652-129742-0009.flac,train,0,1,librispeech_dev,LibriSpeech,0.7159674167633057
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0000.flac,train,0,1,librispeech_dev,LibriSpeech,0.709358274936676
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275155-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.723135769367218
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0048.flac,train,0,1,librispeech_dev,LibriSpeech,0.6928716897964478
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0013.flac,train,0,1,librispeech_dev,LibriSpeech,0.6920661330223083
data\raw\openslr_librispeech_asr\librispeech_dev_5338-284437-0006.flac,train,0,1,librispeech_dev,LibriSpeech,0.7027193903923035
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0026.flac,train,0,1,librispeech_dev,LibriSpeech,0.7148837447166443
data\raw\openslr_librispeech_asr\librispeech_dev_6319-275224-0002.flac,train,0,1,librispeech_dev,LibriSpeech,0.704023540019989
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93302-0016.flac,train,0,1,librispeech_dev,LibriSpeech,0.746345043182373
data\raw\openslr_librispeech_asr\librispeech_dev_1673-143396-0011.flac,train,0,1,librispeech_dev,LibriSpeech,0.7175974249839783
data\raw\openslr_librispeech_asr\librispeech_dev_2803-161169-0015.flac,train,0,1,librispeech_dev,LibriSpeech,0.7048680186271667
data\raw\openslr_librispeech_asr\librispeech_dev_3576-138058-0031.flac,train,0,1,librispeech_dev,LibriSpeech,0.7141860723495483
data\raw\openslr_librispeech_asr\librispeech_dev_3536-23268-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.7060748338699341
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9008-0016.flac,train,0,1,librispeech_dev,LibriSpeech,0.709469199180603
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34615-0002.flac,train,0,1,librispeech_dev,LibriSpeech,0.6991928219795227
data\raw\openslr_librispeech_asr\librispeech_dev_7976-110523-0002.flac,train,0,1,librispeech_dev,LibriSpeech,0.7140848636627197
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0004.flac,train,0,1,librispeech_dev,LibriSpeech,0.696997344493866
data\raw\openslr_librispeech_asr\librispeech_dev_251-136532-0005.flac,train,0,1,librispeech_dev,LibriSpeech,0.7152784466743469
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0063.flac,train,0,1,librispeech_dev,LibriSpeech,0.7009456753730774
data\raw\openslr_librispeech_asr\librispeech_dev_6319-57405-0011.flac,train,0,1,librispeech_dev,LibriSpeech,0.6800090074539185
data\raw\openslr_librispeech_asr\librispeech_dev_251-137823-0025.flac,train,0,1,librispeech_dev,LibriSpeech,0.703030526638031
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93302-0021.flac,train,0,1,librispeech_dev,LibriSpeech,0.7186339497566223
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0022.flac,train,0,1,librispeech_dev,LibriSpeech,0.6899079084396362
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275155-0011.flac,train,0,1,librispeech_dev,LibriSpeech,0.730724036693573
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93306-0015.flac,train,0,1,librispeech_dev,LibriSpeech,0.7334280014038086
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275154-0025.flac,train,0,1,librispeech_dev,LibriSpeech,0.7198313474655151
